startup_id,name,description,industry,sub_industry,hq_country,hq_city,founded_year,website,status,funding_round_count,total_funding_usd,acquisition_count,ipo_count,has_acquisition,has_ipo,is_success,funding_level,startup_stage,success_score,outcome_label,is_yc,yc_batch,has_layoffs,total_layoffs,search_text,ai_context
/organization/exagen-diagnostics,Exagen Diagnostics,"Exagen Diagnostics is a Health Diagnostics company located in Albuquerque, USA. The firm has an estimated total funding of $138.8M.",Biotechnology,Health Diagnostics,USA,Albuquerque,2002.0,http://avisetest.com,operating,18,138845088.0,0,0,0,0,0,mega,late,217.5,funded_growth,0,none,0,0,"exagen diagnostics biotechnology health diagnostics exagen diagnostics is a health diagnostics company located in albuquerque, usa. the firm has an estimated total funding of $138.8m. usa albuquerque","name: Exagen Diagnostics | industry: Biotechnology | sub_industry: Health Diagnostics | hq_country: USA | hq_city: Albuquerque | founded_year: 2002.0 | status: operating | funding_round_count: 18 | total_funding_usd: 138845088.0 | has_acquisition: 0 | has_ipo: 0 | outcome_label: funded_growth | is_yc: 0 | yc_batch: none | has_layoffs: 0 | total_layoffs: 0 | description: Exagen Diagnostics is a Health Diagnostics company located in Albuquerque, USA. The firm has an estimated total funding of $138.8M."
/organization/tubemogul,TubeMogul,"Headquartered in Emeryville, USA, TubeMogul operates as a key player in the Advertising industry. Established in 2006, the company continues to grow. The startup has gone public (IPO).",Advertising,Analytics,USA,Emeryville,2006.0,http://www.tubemogul.com,ipo,8,136057047.0,0,1,0,1,1,mega,late,217.46,ipo,0,none,0,0,"tubemogul advertising analytics headquartered in emeryville, usa, tubemogul operates as a key player in the advertising industry. established in 2006, the company continues to grow. the startup has gone public (ipo). usa emeryville","name: TubeMogul | industry: Advertising | sub_industry: Analytics | hq_country: USA | hq_city: Emeryville | founded_year: 2006.0 | status: ipo | funding_round_count: 8 | total_funding_usd: 136057047.0 | has_acquisition: 0 | has_ipo: 1 | outcome_label: ipo | is_yc: 0 | yc_batch: none | has_layoffs: 0 | total_layoffs: 0 | description: Headquartered in Emeryville, USA, TubeMogul operates as a key player in the Advertising industry. Established in 2006, the company continues to grow. The startup has gone public (IPO)."
/organization/reachlocal,ReachLocal,"Founded in 2004, ReachLocal is innovating the Internet Marketing sector in Woodland Hills, USA. They have secured $127.3M across 8 funding rounds.",Advertising,Internet Marketing,USA,Woodland Hills,2004.0,http://www.reachlocal.com,ipo,8,127335670.0,0,1,0,1,1,mega,late,217.32,ipo,0,none,0,0,"reachlocal advertising internet marketing founded in 2004, reachlocal is innovating the internet marketing sector in woodland hills, usa. they have secured $127.3m across 8 funding rounds. usa woodland hills","name: ReachLocal | industry: Advertising | sub_industry: Internet Marketing | hq_country: USA | hq_city: Woodland Hills | founded_year: 2004.0 | status: ipo | funding_round_count: 8 | total_funding_usd: 127335670.0 | has_acquisition: 0 | has_ipo: 1 | outcome_label: ipo | is_yc: 0 | yc_batch: none | has_layoffs: 0 | total_layoffs: 0 | description: Founded in 2004, ReachLocal is innovating the Internet Marketing sector in Woodland Hills, USA. They have secured $127.3M across 8 funding rounds."
/organization/globeimmune,GlobeImmune,"Founded in 1995, the Biotechnology startup GlobeImmune provides Biotechnology solutions in Louisville, USA.",Biotechnology,,USA,Louisville,1995.0,http://www.globeimmune.com,ipo,8,120456440.0,0,1,0,1,1,mega,late,217.21,ipo,0,none,0,0,"globeimmune biotechnology  founded in 1995, the biotechnology startup globeimmune provides biotechnology solutions in louisville, usa. usa louisville","name: GlobeImmune | industry: Biotechnology | sub_industry: N/A | hq_country: USA | hq_city: Louisville | founded_year: 1995.0 | status: ipo | funding_round_count: 8 | total_funding_usd: 120456440.0 | has_acquisition: 0 | has_ipo: 1 | outcome_label: ipo | is_yc: 0 | yc_batch: none | has_layoffs: 0 | total_layoffs: 0 | description: Founded in 1995, the Biotechnology startup GlobeImmune provides Biotechnology solutions in Louisville, USA."
/organization/tremor-video,Tremor Video,"Founded in 2005, Tremor Video is disrupting the Digital Media sector in New York, USA. They have secured $116.4M across 8 funding rounds.",Advertising,Digital Media,USA,New York,2005.0,http://tremorvideo.com,ipo,8,116400000.0,0,1,0,1,1,mega,late,217.15,ipo,0,none,0,0,"tremor video advertising digital media founded in 2005, tremor video is disrupting the digital media sector in new york, usa. they have secured $116.4m across 8 funding rounds. usa new york","name: Tremor Video | industry: Advertising | sub_industry: Digital Media | hq_country: USA | hq_city: New York | founded_year: 2005.0 | status: ipo | funding_round_count: 8 | total_funding_usd: 116400000.0 | has_acquisition: 0 | has_ipo: 1 | outcome_label: ipo | is_yc: 0 | yc_batch: none | has_layoffs: 0 | total_layoffs: 0 | description: Founded in 2005, Tremor Video is disrupting the Digital Media sector in New York, USA. They have secured $116.4M across 8 funding rounds."
/organization/five9,Five9,"Based out of San Ramon, USA, Five9 is focused on Enterprise Software. To date, they have raised $114.1M.",Enterprise Software,Technology,USA,San Ramon,2001.0,http://www.five9.com,ipo,8,114100000.0,0,1,0,1,1,mega,late,217.11,ipo,0,none,0,0,"five9 enterprise software technology based out of san ramon, usa, five9 is focused on enterprise software. to date, they have raised $114.1m. usa san ramon","name: Five9 | industry: Enterprise Software | sub_industry: Technology | hq_country: USA | hq_city: San Ramon | founded_year: 2001.0 | status: ipo | funding_round_count: 8 | total_funding_usd: 114100000.0 | has_acquisition: 0 | has_ipo: 1 | outcome_label: ipo | is_yc: 0 | yc_batch: none | has_layoffs: 0 | total_layoffs: 0 | description: Based out of San Ramon, USA, Five9 is focused on Enterprise Software. To date, they have raised $114.1M."
/organization/cytomedix,Nuo Therapeutics,"Headquartered in Gaithersburg, USA, Nuo Therapeutics operates as a key player in the Biotechnology industry. The startup has gone public (IPO).",Biotechnology,,USA,Gaithersburg,,http://www.cytomedix.com,ipo,8,104775000.0,0,1,0,1,1,mega,late,216.93,ipo,0,none,0,0,"nuo therapeutics biotechnology  headquartered in gaithersburg, usa, nuo therapeutics operates as a key player in the biotechnology industry. the startup has gone public (ipo). usa gaithersburg","name: Nuo Therapeutics | industry: Biotechnology | sub_industry: N/A | hq_country: USA | hq_city: Gaithersburg | founded_year: N/A | status: ipo | funding_round_count: 8 | total_funding_usd: 104775000.0 | has_acquisition: 0 | has_ipo: 1 | outcome_label: ipo | is_yc: 0 | yc_batch: none | has_layoffs: 0 | total_layoffs: 0 | description: Headquartered in Gaithersburg, USA, Nuo Therapeutics operates as a key player in the Biotechnology industry. The startup has gone public (IPO)."
/organization/advaxis-inc,Advaxis,"Founded in 2002, the Biotechnology startup Advaxis provides Biotechnology solutions in Princeton, USA.",Biotechnology,,USA,Princeton,2002.0,http://www.advaxis.com,ipo,8,98537423.0,0,1,0,1,1,mega,late,216.81,ipo,0,none,0,0,"advaxis biotechnology  founded in 2002, the biotechnology startup advaxis provides biotechnology solutions in princeton, usa. usa princeton","name: Advaxis | industry: Biotechnology | sub_industry: N/A | hq_country: USA | hq_city: Princeton | founded_year: 2002.0 | status: ipo | funding_round_count: 8 | total_funding_usd: 98537423.0 | has_acquisition: 0 | has_ipo: 1 | outcome_label: ipo | is_yc: 0 | yc_batch: none | has_layoffs: 0 | total_layoffs: 0 | description: Founded in 2002, the Biotechnology startup Advaxis provides Biotechnology solutions in Princeton, USA."
/organization/etsy,Etsy,"Headquartered in Brooklyn, USA, Etsy operates as a key player in the E-Commerce industry. Established in 2005, the company continues to grow. The startup has gone public (IPO).",E-Commerce,Peer-to-Peer,USA,Brooklyn,2005.0,http://www.etsy.com,ipo,8,97256127.0,0,1,0,1,1,mega,late,216.79,ipo,0,none,0,0,"etsy e-commerce peer-to-peer headquartered in brooklyn, usa, etsy operates as a key player in the e-commerce industry. established in 2005, the company continues to grow. the startup has gone public (ipo). usa brooklyn","name: Etsy | industry: E-Commerce | sub_industry: Peer-to-Peer | hq_country: USA | hq_city: Brooklyn | founded_year: 2005.0 | status: ipo | funding_round_count: 8 | total_funding_usd: 97256127.0 | has_acquisition: 0 | has_ipo: 1 | outcome_label: ipo | is_yc: 0 | yc_batch: none | has_layoffs: 0 | total_layoffs: 0 | description: Headquartered in Brooklyn, USA, Etsy operates as a key player in the E-Commerce industry. Established in 2005, the company continues to grow. The startup has gone public (IPO)."
/organization/bg-medicine,BG Medicine,"BG Medicine is a Health Care company located in Waltham, USA. The firm has an estimated total funding of $96.0M.",Biotechnology,Health Care,USA,Waltham,2000.0,http://www.bg-medicine.com,ipo,8,96029290.0,0,1,0,1,1,mega,late,216.76,ipo,0,none,0,0,"bg medicine biotechnology health care bg medicine is a health care company located in waltham, usa. the firm has an estimated total funding of $96.0m. usa waltham","name: BG Medicine | industry: Biotechnology | sub_industry: Health Care | hq_country: USA | hq_city: Waltham | founded_year: 2000.0 | status: ipo | funding_round_count: 8 | total_funding_usd: 96029290.0 | has_acquisition: 0 | has_ipo: 1 | outcome_label: ipo | is_yc: 0 | yc_batch: none | has_layoffs: 0 | total_layoffs: 0 | description: BG Medicine is a Health Care company located in Waltham, USA. The firm has an estimated total funding of $96.0M."
/organization/titan-medical,Titan Medical,"Headquartered in Toronto, CAN, Titan Medical operates as a key player in the Health and Wellness industry. The startup has gone public (IPO).",Health and Wellness,,CAN,Toronto,,http://titanmedicalinc.com,ipo,8,92043583.4170184,0,1,0,1,1,mega,late,216.68,ipo,0,none,0,0,"titan medical health and wellness  headquartered in toronto, can, titan medical operates as a key player in the health and wellness industry. the startup has gone public (ipo). can toronto","name: Titan Medical | industry: Health and Wellness | sub_industry: N/A | hq_country: CAN | hq_city: Toronto | founded_year: N/A | status: ipo | funding_round_count: 8 | total_funding_usd: 92043583.4170184 | has_acquisition: 0 | has_ipo: 1 | outcome_label: ipo | is_yc: 0 | yc_batch: none | has_layoffs: 0 | total_layoffs: 0 | description: Headquartered in Toronto, CAN, Titan Medical operates as a key player in the Health and Wellness industry. The startup has gone public (IPO)."
/organization/realpage,RealPage,"Headquartered in Carrollton, USA, RealPage operates as a key player in the Software industry. Established in 1995, the company continues to grow. The startup has gone public (IPO).",Software,,USA,Carrollton,1995.0,http://www.realpage.com,ipo,8,86401577.0,0,1,0,1,1,mega,late,216.55,ipo,0,none,0,0,"realpage software  headquartered in carrollton, usa, realpage operates as a key player in the software industry. established in 1995, the company continues to grow. the startup has gone public (ipo). usa carrollton","name: RealPage | industry: Software | sub_industry: N/A | hq_country: USA | hq_city: Carrollton | founded_year: 1995.0 | status: ipo | funding_round_count: 8 | total_funding_usd: 86401577.0 | has_acquisition: 0 | has_ipo: 1 | outcome_label: ipo | is_yc: 0 | yc_batch: none | has_layoffs: 0 | total_layoffs: 0 | description: Headquartered in Carrollton, USA, RealPage operates as a key player in the Software industry. Established in 1995, the company continues to grow. The startup has gone public (IPO)."
/organization/everyday-health,Everyday Health,"Founded in 2002, the Business Services startup Everyday Health provides Health and Wellness solutions in New York, USA.",Business Services,Health and Wellness,USA,New York,2002.0,http://corporate.everydayhealth.com,ipo,8,84728588.0,0,1,0,1,1,mega,late,216.51,ipo,0,none,0,0,"everyday health business services health and wellness founded in 2002, the business services startup everyday health provides health and wellness solutions in new york, usa. usa new york","name: Everyday Health | industry: Business Services | sub_industry: Health and Wellness | hq_country: USA | hq_city: New York | founded_year: 2002.0 | status: ipo | funding_round_count: 8 | total_funding_usd: 84728588.0 | has_acquisition: 0 | has_ipo: 1 | outcome_label: ipo | is_yc: 0 | yc_batch: none | has_layoffs: 0 | total_layoffs: 0 | description: Founded in 2002, the Business Services startup Everyday Health provides Health and Wellness solutions in New York, USA."
/organization/ascent-solar-technologies,Ascent Solar Technologies,"Based out of Thornton, USA, Ascent Solar Technologies is focused on Clean Technology. To date, they have raised $71.4M.",Clean Technology,,USA,Thornton,2005.0,http://www.ascentsolar.com,ipo,8,71350002.0,0,1,0,1,1,mega,late,216.17,ipo,0,none,0,0,"ascent solar technologies clean technology  based out of thornton, usa, ascent solar technologies is focused on clean technology. to date, they have raised $71.4m. usa thornton","name: Ascent Solar Technologies | industry: Clean Technology | sub_industry: N/A | hq_country: USA | hq_city: Thornton | founded_year: 2005.0 | status: ipo | funding_round_count: 8 | total_funding_usd: 71350002.0 | has_acquisition: 0 | has_ipo: 1 | outcome_label: ipo | is_yc: 0 | yc_batch: none | has_layoffs: 0 | total_layoffs: 0 | description: Based out of Thornton, USA, Ascent Solar Technologies is focused on Clean Technology. To date, they have raised $71.4M."
/organization/semprius,Semprius,"Semprius is a Solar company located in Durham, USA. The firm has an estimated total funding of $64.0M.",Clean Technology,Solar,USA,Durham,2005.0,http://www.semprius.com,operating,18,63997160.0,0,0,0,0,0,mega,late,215.95,funded_growth,0,none,0,0,"semprius clean technology solar semprius is a solar company located in durham, usa. the firm has an estimated total funding of $64.0m. usa durham","name: Semprius | industry: Clean Technology | sub_industry: Solar | hq_country: USA | hq_city: Durham | founded_year: 2005.0 | status: operating | funding_round_count: 18 | total_funding_usd: 63997160.0 | has_acquisition: 0 | has_ipo: 0 | outcome_label: funded_growth | is_yc: 0 | yc_batch: none | has_layoffs: 0 | total_layoffs: 0 | description: Semprius is a Solar company located in Durham, USA. The firm has an estimated total funding of $64.0M."
/organization/alibaba,Alibaba,"Founded in 1999, the E-Commerce startup Alibaba provides E-Commerce solutions in Hangzhou, CHN.",E-Commerce,,CHN,Hangzhou,1999.0,http://www.alibaba.com,ipo,7,4812000000.0,0,1,0,1,1,mega,late,214.59,ipo,0,none,0,0,"alibaba e-commerce  founded in 1999, the e-commerce startup alibaba provides e-commerce solutions in hangzhou, chn. chn hangzhou","name: Alibaba | industry: E-Commerce | sub_industry: N/A | hq_country: CHN | hq_city: Hangzhou | founded_year: 1999.0 | status: ipo | funding_round_count: 7 | total_funding_usd: 4812000000.0 | has_acquisition: 0 | has_ipo: 1 | outcome_label: ipo | is_yc: 0 | yc_batch: none | has_layoffs: 0 | total_layoffs: 0 | description: Founded in 1999, the E-Commerce startup Alibaba provides E-Commerce solutions in Hangzhou, CHN."
